Banco de México,
,
Exchange rates and auctions historical information,
Tipos de cambio diarios,
,
Date: 03/02/2024 06:14:08,
,
,
,
Title,"Exchange rate pesos per US dollar, Used to settle liabilities denominated in foreign currency, Date of settlement"
Information type,Levels
Date,SF60653
02/19/2015,14.8971
02/20/2015,14.9473
02/21/2015,14.9583
02/22/2015,14.9583
02/23/2015,14.9583
02/24/2015,15.0757
02/25/2015,15.0832
02/26/2015,14.9712
02/27/2015,14.9228
02/28/2015,14.9624
03/01/2015,14.9624
03/02/2015,14.9624
03/03/2015,14.9553
03/04/2015,14.9862
03/05/2015,14.9544
03/06/2015,15.0756
03/07/2015,15.1686
03/08/2015,15.1686
03/09/2015,15.1686
03/10/2015,15.4445
03/11/2015,15.4544
03/12/2015,15.5837
03/13/2015,15.4455
03/14/2015,15.4003
03/15/2015,15.4003
03/16/2015,15.4003
03/17/2015,15.4003
03/18/2015,15.4892
03/19/2015,15.4271
03/20/2015,15.4192
03/21/2015,15.296
03/22/2015,15.296
03/23/2015,15.296
03/24/2015,15.0317
03/25/2015,14.9644
03/26/2015,14.9347
03/27/2015,14.9524
03/28/2015,15.1056
03/29/2015,15.1056
03/30/2015,15.1056
03/31/2015,15.1542
04/01/2015,15.2427
04/02/2015,15.2647
04/03/2015,15.2647
04/04/2015,15.2647
04/05/2015,15.2647
04/06/2015,15.2647
04/07/2015,15.1206
04/08/2015,14.8003
04/09/2015,14.9039
04/10/2015,14.9072
04/11/2015,15.0554
04/12/2015,15.0554
04/13/2015,15.0554
04/14/2015,15.1706
04/15/2015,15.2947
04/16/2015,15.2339
04/17/2015,15.3891
04/18/2015,15.2455
04/19/2015,15.2455
04/20/2015,15.2455
04/21/2015,15.3128
04/22/2015,15.3973
04/23/2015,15.3837
04/24/2015,15.4518
04/25/2015,15.3539
04/26/2015,15.3539
04/27/2015,15.3539
04/28/2015,15.3834
04/29/2015,15.3213
04/30/2015,15.2225
05/01/2015,15.2043
05/02/2015,15.2043
05/03/2015,15.2043
05/04/2015,15.2043
05/05/2015,15.3714
05/06/2015,15.494
05/07/2015,15.3225
05/08/2015,15.2825
05/09/2015,15.3397
05/10/2015,15.3397
05/11/2015,15.3397
05/12/2015,15.1424
05/13/2015,15.2624
05/14/2015,15.3211
05/15/2015,15.2213
05/16/2015,15.1235
05/17/2015,15.1235
05/18/2015,15.1235
05/19/2015,15.0225
05/20/2015,15.12
05/21/2015,15.2008
05/22/2015,15.212
05/23/2015,15.2326
05/24/2015,15.2326
