Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
05/27/2015,3.3
05/28/2015,3.3025
05/29/2015,3.295
06/01/2015,3.3
06/02/2015,3.3089
06/03/2015,3.3075
06/04/2015,3.3
06/05/2015,3.31
06/08/2015,3.3105
06/09/2015,3.3094
06/10/2015,3.3
06/11/2015,3.295
06/12/2015,3.3145
06/15/2015,3.3025
06/16/2015,3.305
06/17/2015,3.308
06/18/2015,3.31
06/19/2015,3.31
06/22/2015,3.3025
06/23/2015,3.3088
06/24/2015,3.3025
06/25/2015,3.2975
06/26/2015,3.295
06/29/2015,3.3025
06/30/2015,3.3025
07/01/2015,3.31
07/02/2015,3.3025
07/03/2015,3.3037
07/06/2015,3.3
07/07/2015,3.2988
07/08/2015,3.2925
07/09/2015,3.2966
07/10/2015,3.296
07/13/2015,3.2956
07/14/2015,3.2987
07/15/2015,3.3075
07/16/2015,3.3095
07/17/2015,3.3025
07/20/2015,3.3
07/21/2015,3.3042
07/22/2015,3.3087
07/23/2015,3.305
07/24/2015,3.3075
07/27/2015,3.31
07/28/2015,3.313
07/29/2015,3.305
07/30/2015,3.3025
07/31/2015,3.3112
08/03/2015,3.314
08/04/2015,3.3075
08/05/2015,3.31
08/06/2015,3.3132
08/07/2015,3.31
08/10/2015,3.3134
08/11/2015,3.3095
08/12/2015,3.3075
08/13/2015,3.3075
08/14/2015,3.3116
08/17/2015,3.31
08/18/2015,3.313
08/19/2015,3.31
08/20/2015,3.3173
08/21/2015,3.321
08/24/2015,3.3199
08/25/2015,3.3321
08/26/2015,3.326
08/27/2015,3.33
08/28/2015,3.326
08/31/2015,3.33
09/01/2015,3.335
09/02/2015,3.335
09/03/2015,3.3358
09/04/2015,3.335
09/07/2015,3.334
09/08/2015,3.339
09/09/2015,3.342
09/10/2015,3.3425
09/11/2015,3.3436
09/14/2015,3.3444
09/15/2015,3.3439
09/17/2015,3.3465
09/18/2015,3.3415
09/21/2015,3.3257
09/22/2015,3.33
09/23/2015,3.3289
09/24/2015,3.32
09/25/2015,3.3225
09/28/2015,3.325
09/29/2015,3.325
09/30/2015,3.325
10/01/2015,3.3225
10/02/2015,3.3247
10/05/2015,3.3125
10/06/2015,3.31
10/07/2015,3.3134
10/08/2015,3.305
10/09/2015,3.3106
10/12/2015,3.31
10/13/2015,3.3025
10/14/2015,3.305
10/15/2015,3.3
10/16/2015,3.3
10/19/2015,3.308
10/20/2015,3.31
10/21/2015,3.3
10/22/2015,3.3
10/23/2015,3.2925
10/26/2015,3.29
10/27/2015,3.29
10/28/2015,3.3037
10/29/2015,3.3
10/30/2015,3.3
11/03/2015,3.3025
11/04/2015,3.3
11/05/2015,3.3005
11/06/2015,3.3025
11/09/2015,3.3025
11/10/2015,3.3099
11/11/2015,3.315
11/12/2015,3.31
11/13/2015,3.32
11/17/2015,3.326
11/18/2015,3.3225
11/19/2015,3.3318
11/20/2015,3.3225
11/23/2015,3.3325
11/24/2015,3.326
11/25/2015,3.33
11/26/2015,3.323
11/27/2015,3.315
11/30/2015,3.3175
12/01/2015,3.3116
12/02/2015,3.325
12/03/2015,3.3358
12/04/2015,3.34
12/07/2015,3.33
12/08/2015,3.34
12/09/2015,3.35
12/10/2015,3.36
12/11/2015,3.3525
12/14/2015,3.3555
12/15/2015,3.34
12/16/2015,3.3621
12/17/2015,3.3825
12/18/2015,3.425
12/21/2015,3.4715
12/22/2015,3.5042
12/23/2015,3.53
12/24/2015,3.5316
12/28/2015,3.535
12/29/2015,3.5505
12/30/2015,3.5525
12/31/2015,3.5475
01/04/2016,3.555
01/05/2016,3.5575
01/06/2016,3.554
01/07/2016,3.56
01/08/2016,3.56
01/11/2016,3.5545
01/12/2016,3.5539
01/13/2016,3.5505
01/14/2016,3.5579
01/15/2016,3.5543
01/18/2016,3.5547
01/19/2016,3.5598
01/20/2016,3.5551
01/21/2016,3.554
01/22/2016,3.56
01/25/2016,3.5545
01/26/2016,3.56
01/27/2016,3.561
01/28/2016,3.56
01/29/2016,3.5551
02/02/2016,3.557
02/03/2016,3.555
02/04/2016,3.5588
02/05/2016,3.56
02/08/2016,3.5616
02/09/2016,3.558
02/10/2016,3.5598
02/11/2016,3.5541
02/12/2016,3.555
02/15/2016,3.5476
02/16/2016,3.5483
02/17/2016,3.5543
02/18/2016,4.035
02/19/2016,4.0303
02/22/2016,4.035
02/23/2016,4.0316
02/24/2016,4.0507
02/25/2016,4.0547
02/26/2016,4.0555
02/29/2016,4.0501
03/01/2016,4.0594
03/02/2016,4.0577
03/03/2016,4.06
03/04/2016,4.0601
03/07/2016,4.064
03/08/2016,4.0625
03/09/2016,4.0606
03/10/2016,4.0601
03/11/2016,4.0606
03/14/2016,4.0613
03/15/2016,4.0625
03/16/2016,4.0645
03/17/2016,4.0647
03/18/2016,4.0648
03/22/2016,4.066
03/23/2016,4.065
03/28/2016,4.0674
03/29/2016,4.065
03/30/2016,4.0625
03/31/2016,4.065
04/01/2016,4.065
04/04/2016,4.0625
04/05/2016,4.065
04/06/2016,4.0653
04/07/2016,4.0661
04/08/2016,4.065
04/11/2016,4.0624
04/12/2016,4.0625
04/13/2016,4.0625
04/14/2016,4.0618
04/15/2016,4.065
04/18/2016,4.065
04/19/2016,4.0652
04/20/2016,4.0626
04/21/2016,4.065
04/22/2016,4.065
04/25/2016,4.0625
04/26/2016,4.065
04/27/2016,4.0655
04/28/2016,4.065
04/29/2016,4.065
05/02/2016,4.0655
05/03/2016,4.065
05/04/2016,4.0625
05/05/2016,4.0633
05/06/2016,4.0638
05/09/2016,4.065
05/10/2016,4.0611
05/11/2016,4.0599
05/12/2016,4.0603
05/13/2016,4.0607
05/16/2016,4.065
05/17/2016,4.066
05/18/2016,4.065
05/19/2016,4.065
05/20/2016,4.0812
05/23/2016,4.0775
05/24/2016,4.0936
05/25/2016,4.1081
05/26/2016,4.1125
05/27/2016,4.095
05/30/2016,4.0975
05/31/2016,4.097
06/01/2016,4.1
06/02/2016,4.0958
06/03/2016,4.0965
06/06/2016,4.0926
06/07/2016,4.0915
06/08/2016,4.0886
06/09/2016,4.0925
06/10/2016,4.0869
06/13/2016,4.095
06/14/2016,4.0986
06/15/2016,4.11
